,,,,,,,,,,,,,,,,,
,Боцу Аліна Олегівна ,,,,,,,,,,,,,,,,
,Варіант 4,,і=4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Профіль голосування А,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,,,,,,,,,
,Кільість,4,3,4,4,3,7,,,,,,,,,,
,1-е місце,a,b,b,c,d,a,,,,,,,,,,
,2-е місце,b,c,a,d,b,d,,,,,,,,,,
,3-е місце,c,d,d,a,c,c,,,,,,,,,,
,4-е місце,d,a,c,b,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Завдання має ТРИ частини:,,,,,,,,,,,,,,,,
,В першій частині для заданого профілю голосування потрібно визначити переможця за ВІСЬМОМА процедурами голосування зі своїм номером i.,,,,,,,,,,,,,,,,
,Процедури:,,,,,,,,,,,,,,,,
,1. Правило абсолютної більшості (студентський парламент),,,,,,,,,,,,,,,,
,2. Правило відносної більшості.,,,,,,,,,,,,,,,,
,3. Правило відносної більшості з вибуттям.,,,,,,,,,,,,,,,,
,4. Голосування з послідовним виключенням.,,,,,,,,,,,,,,,,
,5. Правило Борда.,,,,,,,,,,,,,,,,
,6. Правило Кондорсе,,,,,,,,,,,,,,,,
,7. Правило Копленда,,,,,,,,,,,,,,,,
,8. Правило Сімпсона,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Для 2ї та 3-тої частин умови сформульовані по варіантам.,,,,,,,,,,,,,,,,
,"Для процедури голосування з підрахунком очок(балів) значення s0, s1, s2 i s3 вказати самостійно.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1. Правило абсолютної більшості (студентський парламент),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,"Правило абсолютної більшості — це принцип голосування, за яким для прийняття рішення або обрання ",,,,,,,,
,Кільість,4,3,4,4,3,7,,"кандидата необхідно отримати понад половину голосів виборців (50% + 1 голос) від загальної кількості тих,",,,,,,,,
,1-е місце,a,b,b,c,d,a,," хто взяв участь у голосуванні. Якщо цей поріг не досягнуто, часто проводиться другий тур.",,,,,,,,
,2-е місце,b,c,a,d,b,d,,,,,,,,,,
,3-е місце,c,d,d,a,c,c,,,,,,,,,,
,4-е місце,d,a,c,b,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1 тур,а-,11,,Загалом 25,13- строга більшість,,,,,,,,,,,
,,b-,7,,,,,,,,,,,,,,
,,c-,4,,,,,,,,,,,,,,
,,d-,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,11<13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Оскільки в 1 турі не набрано більше половини голосів, тому переможня в данному турі немає",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2. Правило відносної більшості.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,Кожен виборець віддає свій голос найкращому для себе кандидату –,,,,,,,,
,Кільість,4,3,4,4,3,7,,"залишає одне ім'я в бюлетені, решту викреслює. Обирається",,,,,,,,
,1-е місце,a,b,b,c,d,a,,"кандидат, який отримав найбільше голосів.",,,,,,,,
,2-е місце,b,c,a,d,b,d,,,,,,,,,,
,3-е місце,c,d,d,a,c,c,,,,,,,,,,
,4-е місце,d,a,c,b,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,,,,,,,,,
,Кільість,4,3,4,4,3,7,,,,,,,,,,
,1-е місце,a,b,b,c,d,a,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1 тур,а-,11,,Загалом 25,13- строга більшість,,,,,,,,,,,
,,b-,7,,,,,,,,,,,,,,
,,c-,4,,,,,,,,,,,,,,
,,d-,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,11<13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2 тур з кандидатами ,,a i b ,4+4+7,,,,,,,,,,,,,
,,,15>10,,Переможець:,,,,,,,,,,,,
,,,a>b,,а,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Порівняємо переможця а з іншими кандидатами, що не пройшли в 2 тур",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,а i c,,а i d,,,,,,,,,,,,,
,,15>10,,15>10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Робимо висновок, що переможцем стає ""а""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3. Правило відносної більшості з вибуттям.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,У першому турі кожен виборець віддає свій голос найкращому кандидату за власною думкою (залишає одне ім'я в бюлетені).,,,,,,,,
,Кільість,4,3,4,4,3,7,,"Якщо кандидат набирає строгу більшість голосів, він обирається.",,,,,,,,
,1-е місце,a,b,b,c,d,a,,"Інакше у другому турі проводиться голосування за правилом більшості з двома кандидатами, які набрали найбільшу",,,,,,,,
,2-е місце,b,c,a,d,b,d,,кількість голосів у першому турі.,,,,,,,,
,3-е місце,c,d,d,a,c,c,,,,,,,,,,
,4-е місце,d,a,c,b,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1 тур,а-,11,,Загалом 25,13- строга більшість,,,,,,,,,,,
,,b-,7,,,,,,,,,,,,,,
,,c-,4,"Оскільки тут найменша кількість голосів, тому він відраховується від голосування",,,,,,,,,,,,,
,,d-,3,"Оскільки тут найменша кількість голосів, тому він відраховується від голосування",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,11<13 -- не строга більшість ,,,,,,,,,,,,,,,
,,,,,АБО,,,,,,,,,,,,
,2 тур,а-,11,,,2 тур,а-,11,,,,,,,,,
,,b-,7,,,,b-,7,,,,,,,,,
,,,,,,,c-,4,,,,,,,,,
,,a i b ,4+4+7,,,,,,,,,,,,,,
,,15>10,,Переможець:,,"Так як в группі 5 на 1 місці був d а потім b, тоді голоса за кандидата d будуть віддаватися кандидату b, і тоді:",,,,,,,,,,,
,,a>b,,а,,,,,,,,,,,,,
,,,,,,2 тур,а-,11,,,,,,,,,
,,,,,,,b-,10,7+3,,,,,,,,
,,,,,,,c-,4,"Оскільки тут найменша кількість голосів, тому він відраховується від голосування",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,3 тур,а-,11,,,,,,,,,
,,,,,,,b-,10,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Аналогічно виконуємо дію і отримаємо ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,а-,15,11+4,,,,,,,,
,,,,,,,b-,10,,,,,,,,,
,,,,,,,,15>10,,,,,,,,,
,"Тому, переможцем стає ""а""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,4. Голосування з послідовним виключенням.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,"Спочатку встановлюється порядок порівняння кандидатів,",,,,,,,,
,Кільість,4,3,4,4,3,7,,далі за правилом більшості кандидати послідовно порівнюються попарно.,,,,,,,,
,1-е місце,a,b,b,c,d,a,,"Якщо кандидатів m, то маємо m-1 турів головування.",,,,,,,,
,2-е місце,b,c,a,d,b,d,,"В першому турі порівнюються два перших кандидата з ланцюгу порівняння, переможець першого туру в другому турі",,,,,,,,
,3-е місце,c,d,d,a,c,c,,порівнюється з третім кандидатом в ланцюгу і т.д.,,,,,,,,
,4-е місце,d,a,c,b,a,b,,Переможець (m-1)-го туру є переможцем за даною процедурою.,,,,,,,,
,,,,,,,,,,,,,,,,,
,Встановлюємо порядок ,,,,,,,,Це правило має ще одну назву: “олімпійська система”.,,,,,,,,
,d-c-b-a,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1 тур,d i c,,,,,,,,,,,,,,,
,,14>11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Переможець:,d,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,2 тур,d i b ,,,,,,,,,,,,,,,
,,14>11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Переможець:,d,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,3 тур,d i a,,,,,,,,,,,,,,,
,,10<15,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Переможець:,a,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Робимо висновок, що переможець ""а""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,5. Правило Борда.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Група,I,II,III,V,V,VI,,"Кожен виборець оголошує свої переваги, впорядковуючи m кандидатів від кращого до гіршого (байдужість забороняється).",,,,,,,,Вже маємо
,Кільість,4,3,4,4,3,7,,"Кандидат не отримує балів за останнє місце, отримує 1 бал від кожного виборця за передостаннє тощо,",,,,,,,,
,1-е місце,a,b,b,c,d,a,,отримує m-1 балів за перше місце. Перемагає кандидат із найбільшою сумою балів.,,,,,,,,
,2-е місце,b,c,a,d,b,d,,,,,,,,,,
,3-е місце,c,d,d,a,c,c,,,,,,,,,,
,4-е місце,d,a,c,b,a,b,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Бали ,,,,,,,Сумма балів,,,,,,,,,
,а-,3,0,2,1,0,3,9,,,,,,,,,
,b-,2,3,3,0,2,0,10,,,,,,,,,
,c-,1,2,0,3,1,1,8,,,,,,,,,
,d-,0,1,1,2,3,2,9,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Перемагає кандидат ""b""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,6. Правило Кондорсе,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Перевіримо такі пари,,>,<,Переможець:,,Процедура Кондорсе. Для заданої таблиці результатів голосування (таблиці переваг) переможцем за Кондорсе,,,,,,,,,,
,,a i b,15,10,a,,"називається кандидат, що перемагає будь-якого іншого кандидата при парному порівнянні за правилом більшості.",,,,,,,,,,
,,a i c,15,10,a,,,,,,,,,,,,
,,a i d,15,10,a,,,,,,,,,,,,
,,b i c,14,11,b,,,,,,,,,,,,
,,b i d,11,14,d,,,,,,,,,,,,
,,c i d,11,14,d,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Маємо,"a>b, a>c, a>d, b>c, d>b, d>c",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"a>b, b>c",,,,,,,,,,,,,,,
,,a>c,,,,,,,,,,,,,,,
,," a>d, d>b, d>c",,,,,,,,,,,,,,,
,," a>d, d>b",,,,,,,,,,,,,,,
,," a>d, d>c",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Робимо висновок, що переможець ""а"", оскільки a>b, a>c, a>d",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,7. Правило Копленда,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Нарахуємо бали за перемогу ,,,,,,,,,,,,,,,,
,,,Програвші,,,,,,,,,,,,,,
,,,a,b,c,d,Сумуваня балів ,,,,,,,,,,
,Переможці,a,-,1,1,1,3,,,,,,,,,,
,,b,0,-,1,0,1,,,,,,,,,,
,,c,0,0,-,0,0,,,,,,,,,,
,,d,0,1,1,-,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Робимо висновок, що переможець ""а""",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,8. Правило Сімпсона,,,,,,"Правило Сімпсона (або метод мінімаксу) — це метод визначення переможця у теорії голосувань, який обирає кандидата,",,,,,,,,,,
,,,,,,, що зазнав найменшої максимальної поразки в парних порівняннях.,,,,,,,,,,
,Перевіримо такі пари,,>,<,Переможець:,," Він спрямований на зменшення впливу сильних опонентів, обираючи того, хто краще за інших витримує конкуренцію.",,,,,,,,,,
,,a i b,15,10,a,,,,,,,,,,,,
,,a i c,15,10,a,,,,,,,,,,,,
,,a i d,15,10,a,,,,,,,,,,,,
,,b i c,14,11,b,,,,,,,,,,,,
,,b i d,11,14,d,,,,,,,,,,,,
,,c i d,11,14,d,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"""j"" в порівнянні з ""i""  віддали ** голосів",,,,,,,,,,,,,,,
,,a,b,c,d,,,,,,,,,,,,
,a,-,10,10,10,,,,,,,,,,,,
,b,15,-,11,14,,,,,,,,,,,,
,c,15,14,-,14,,,,,,,,,,,,
,d,15,11,11,-,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Потрібен мінімум по стовпчиках,,,,,,,,,,,,,,,,
,Тому ,,,,,,,,,,,,,,,,
,"Переможців b, c, d  можна вважати рівноцінними переможцями ",,,,,,,,,,,,,,,,